tag_09162_01279273055|aavarrkaLixx pataggkaLixx tIsarukkku kitykkkumm varavERRpu aapiridamAka uuLLLadu
tag_01515_01483902699|pAmmpaxx raYill pAladddukkku vetikunntu miratttall
tag_03777_01709938953|JamEkkkA vaxxmuRykaLill mupppadu pErr uuYirizapppu
tag_01181_00836855113|kizakkkupp pallkalykkkazadddill pOrukkkupp pixx aaRiviYalumm dozillNuttpamumm paxxxAtttu mANAtu
tag_03191_01070187495|NAxx Natiky eexxpadaRRkAka iiruvadddi NAxxku mani NEramumm kEmarA muxxxAll iirukkka mutiYAdu
tag_03191_00287731463|durukkki vimAxadd dAkkkudalill mupppadddi yyNNdu kurrdiYa iixadddavarrkaLL uuYirizapppu
tag_09674_01078578483|daggkamakaxx eexxxa mAdiriYAxa patamm
tag_05935_00022887539|mykkkEll kiLArrkk dalymyYilAxa aani EEzu AAhass tesstt pOtttiYill dOllviYatyNNduLLLadu
tag_03762_01231631302|aadu NAxAkavE iirukkka vEnntumm
tag_01469_01440426013|NOkkkiYA AAly mUtapppatttady dotarrNNdu panikkku vaNNda dozilALarrkaLL dirupppi aaxupppapppatttaxarr
tag_05935_01015907946|aadikapattcamAka Nellly mAvatttadddill pApaNAcadddill padimUxxRu cexxti mItttarr mazy peYYduLLLadu
tag_01818_00570417203|JUxx iirupadddi mUxxRu uulaka iiRy vanakkka dixamm
tag_07879_00136804398|catttavirOda tyxacOrr muttty viRRpaxyYydd daty ceYYYa iiNNdiYA ditttamm
tag_09162_02017675708|cIxA uulakixx iiranntAvadu perumm poruLAdAramAka JapppAxy muNNdiYadu
tag_06418_00626852185|Natudddarakk kutummpadddixarr maRRRumm cAdArana NilyYill iirupppavarrkaLumm kataxy eeLidAka peRumm aaLaviRRku cattta vidikaLL daLarrdddapppatumm
tag_01818_00556073137|palamozipp pataggkaLill NatikkkiRIrrkaLL
tag_05632_00536359457|raYilill cellka
tag_09162_00083698627|iiNNdiYa iilaggky mIxavarr pEcccuvArrdddykaLL cexxxyYill duvaggkiYadu
tag_01469_01549884118|viJaYY maRRRavarrkaLukkku uudavumm pannpu konntavarr
tag_08288_00540347902|duxIciYAvixx eedirrkkkattcidd dalyvarr cutttukk koly
tag_07925_01895020565|koggkOvill curaggka vipadddu aaRupadu dozilALarrkaLL uuYirizapppu
